onset	duration	trial_type	choice_RT	partner_RT	points	trialn
580.7846833698353	1.5	partner-nonsocial_feedback-informative			60.0	118
584.2849567256685	0.7504599509015861	partner-nonsocial_feedback-partner		0.7504599509015861		119
592.3010885596103	1.5	partner-nonsocial_feedback-affective_lose				120
597.0520092842244	0.8603709374660866	partner-nonsocial_choice	0.8603709374660866			121
601.0344029744037	1.5	partner-nonsocial_feedback-informative			61.0	122
607.5340875638271	1.1630945123679342	partner-nonsocial_feedback-partner		1.1630945123679342		123
612.5509994218388	1.5	partner-nonsocial_feedback-affective_lose				124
616.5517805429887	0.8091950685507072	partner-social_choice	0.8091950685507072			125
621.5338059798919	1.5	partner-social_feedback-informative			60.0	126
625.0334287671268	1.4293909997727496	partner-social_feedback-partner		1.4293909997727496		127
630.0505011645505	1.5	partner-social_feedback-affective_lose				128
634.0513261689116	0.5682338214487572	partner-nonsocial_choice	0.5682338214487572			129
638.0334466861041	1.5	partner-nonsocial_feedback-informative			64.0	130
641.5330808098353	1.6033531892671815	partner-nonsocial_feedback-partner		1.6033531892671815		131
647.5498723547107	1.5	partner-nonsocial_feedback-affective_win				132
651.550880205783	0.6924335471053382	partner-nonsocial_choice	0.6924335471053382			133
655.533134201075	1.5	partner-nonsocial_feedback-informative			57.0	134
659.0328981459706	1.3510843358512832	partner-nonsocial_feedback-partner		1.3510843358512832		135
665.0657655736942	1.5	partner-nonsocial_feedback-affective_lose				136
674.5325121565634	1.5	partner-social_feedback-informative_catch			57.0	138
687.2998239917557	1.3417434287634933	partner-nonsocial_choice	1.3417434287634933			141
691.2984051012767	1.5	partner-nonsocial_feedback-informative			62.0	142
695.7818843523805	1.4204545496099854	partner-nonsocial_feedback-partner		1.4204545496099854		143
701.8151953662255	1.5	partner-nonsocial_feedback-affective_win				144
706.5492620123888	0.7268471266188499	partner-social_choice	0.7268471266188499			145
711.5483653321171	1.5	partner-social_feedback-informative			65.0	146
715.0474333624303	1.2745765178742658	partner-social_feedback-partner		1.2745765178742658		147
720.0645181934307	1.5	partner-social_feedback-affective_win				148
729.7978497958148	1.5	partner-social_feedback-informative_catch			71.0	150
741.5651693105686	1.0722544377808845	partner-nonsocial_choice	1.0722544377808845			153
746.5469848394478	1.5	partner-nonsocial_feedback-informative			67.0	154
750.0472918390756	1.099898666353056	partner-nonsocial_feedback-partner		1.099898666353056		155
758.0637502372432	1.5	partner-nonsocial_feedback-affective_lose				156
762.8147543399577	0.9930543848286106	partner-social_choice	0.9930543848286106			157
767.7967139520451	1.5	partner-social_feedback-informative			68.0	158
771.2966377049664	1.3969711807985732	partner-social_feedback-partner		1.3969711807985732		159
779.3131180447393	1.5	partner-social_feedback-affective_win				160
